Year,Seed1,Score1,Team1,Team2,Score2,Seed2,W1,L1,Pts1,Opp1,MOV1,SOS1,OSRS1,DSRS1,SRS1,W2,L2,Pts2,Opp2,MOV2,SOS2,OSRS2,DSRS2,SRS2,Upset,WP1,WP2,upsetMOV,seedDiff
2021,5,96,Colorado,Georgetown,73,12,23,9,73.1,63.8,9.31,9.57,7.71,11.17,18.88,13,13,71.4,71.7,-0.23,10.36,5.71,4.42,10.13,0,0.72,0.5,-23,7
2021,4,64,Florida St,UNC Greensboro,54,13,18,7,77.2,69.2,7.96,9.16,11.6,5.52,17.12,21,9,73,67.3,5.63,-2.15,-0.62,4.1,3.48,0,0.72,0.7,-10,9
2021,3,93,Kansas,Eastern Washington,84,14,21,9,73,67,6.03,10.26,6.16,9.13,15.29,16,8,78.3,70.4,7.88,-3.15,7.29,-3.26,4.03,0,0.7,0.67,-9,11
2021,1,82,Michigan,Texas Southern,66,16,23,5,75.8,65.1,10.75,11.25,9.74,12.25,22,17,9,73.9,69.5,4.42,-9.03,-1.13,-5.02,-6.15,0,0.82,0.65,-16,15
2021,5,63,Creighton,Santa Barbara,62,12,22,9,76,68.2,7.74,8.54,9.71,6.57,16.28,22,5,76,62.8,13.15,-2.08,1.58,6.22,7.8,0,0.71,0.81,-1,7
2021,2,68,Alabama,Iona,55,15,26,7,79.7,70.1,9.58,10.01,13.35,6.24,19.58,12,6,71.3,66.1,5.22,-6.42,-2.81,1.61,-1.2,0,0.79,0.67,-13,13
2021,6,72,USC,Drake,56,11,25,8,74.9,65.1,9.85,10.65,9.4,11.1,20.5,26,5,75.9,64.5,11.45,-0.48,5.19,4.23,9.42,0,0.76,0.84,-16,5
2021,2,86,Iowa,Grand Canyon,74,15,22,9,83.7,72.7,10.97,10.43,18.32,3.08,21.4,17,7,75.5,62.1,13.38,-3.46,-1.81,6.92,5.11,0,0.71,0.71,-12,13
2021,7,54,Connecticut,Maryland,63,10,15,8,71.7,64.6,7.17,8.59,5.79,9.98,15.77,17,14,68.9,65.6,3.26,11.97,3.95,9.99,13.94,1,0.65,0.55,9,3
2021,4,58,Virginia,Ohio,62,13,18,7,68.2,60.5,7.68,7.59,0.18,15.09,15.27,17,8,79.2,72.6,6.6,-0.57,5.65,-0.18,5.48,1,0.72,0.68,4,9
2021,1,98,Gonzaga,Norfolk St,55,16,31,1,91,69.7,21.28,5.92,23.21,3.99,27.2,17,8,73.6,69.7,3.88,-8.51,-4.55,-1.61,-6.16,0,0.97,0.68,-43,15
2021,6,62,BYU,UCLA,73,11,20,7,78.1,68.6,9.48,7.23,8.13,7.06,15.19,22,10,73.4,68.4,4.97,11.34,8.06,8.24,16.3,1,0.74,0.69,11,5
2021,3,52,Texas,Abilene Christian,53,14,19,8,74.4,68.2,6.15,9.36,8.88,6.63,15.51,24,5,75.7,60.4,15.28,-6.37,-0.28,6.56,6.27,1,0.7,0.83,1,11
2021,7,75,Florida,Virginia Tech,70,10,15,10,74.2,70.3,3.88,9.82,6.86,6.84,13.7,15,7,72,66,6.09,6.5,4.98,7.61,12.59,0,0.6,0.68,-5,3
2021,3,85,Arkansas,Colgate,68,14,25,7,81.4,70.8,10.63,7.18,12.42,5.38,17.8,14,2,85.2,69.6,15.56,-1.9,13.54,0.13,13.66,0,0.78,0.88,-17,11
2021,1,78,Illinois,Drexel,49,16,24,7,80.5,68.6,11.9,11.34,15.08,8.17,23.25,12,8,70.4,67.4,2.95,-3.92,-3.38,2.4,-0.97,0,0.77,0.6,-29,15
2021,6,65,Texas Tech,Utah St,53,11,18,11,72.5,63.2,9.31,7.28,5.08,11.51,16.59,20,9,72.6,62.3,10.24,1.32,2.35,8.65,10.99,0,0.62,0.69,-12,5
2021,2,72,Ohio St,Oral Roberts,75,15,21,10,77.2,71.1,60.6,12.19,12.15,6.1,18.25,18,11,81.1,75.6,5.52,-0.04,7.09,-5.36,1.73,1,0.68,0.62,3,13
2021,1,79,Baylor,Hartford,55,16,28,2,82.9,65.5,17.43,7.4,15.41,9.42,24.83,15,9,65.4,63.9,1.5,-4.95,-5.92,2.47,-3.45,0,0.93,0.63,-24,15
2021,5,56,Tennessee,Oregon St,70,12,18,9,71.9,63.5,8.41,8.46,4.46,12.41,16.87,20,13,70.5,67.6,2.82,10.82,3.86,7.62,11.48,1,0.67,0.61,14,7
2021,4,69,Oklahoma St,Liberty,60,13,21,9,76.6,72.7,3.87,9.78,10.14,3.51,13.65,23,6,74.4,60,14.41,-6.14,-1.06,5.12,4.06,0,0.7,0.79,-9,9
2021,2,87,Houston,Cleveland St,56,15,28,4,76.1,58.2,17.84,5.37,7.82,13.84,21.66,19,8,70.9,71.2,-0.3,-4.82,-5.36,0.25,-5.12,0,0.88,0.7,-31,13
2021,4,69,Purdue,North Texas,78,13,18,10,71,66.7,4.32,11.23,6.15,9.4,15.55,18,10,69.8,62.3,7.46,1.02,-2.12,9.7,7.58,1,0.64,0.64,9,9
2021,7,56,Clemson,Rutgers,60,10,16,8,64.9,61.9,3,9.49,-0.71,13.21,12.49,16,12,69.3,67.6,1.64,12.5,4.15,9.99,14.14,1,0.67,0.57,4,3
2021,6,62,San Diego St,Syracuse,78,11,23,5,73.6,61.2,12.46,2.99,3.74,10.63,14.36,18,10,74.8,70.1,4.68,8.59,8.59,4.68,13.27,1,0.82,0.64,16,5
2021,3,84,West Virginia,Morehead St,67,14,19,10,77.3,72,5.31,10.05,11.72,3.64,15.36,23,8,68.8,64.1,4.71,-4.33,-5.93,4.98,-0.95,0,0.66,0.74,-17,11
2021,5,73,Villanova,Winthrop,63,12,18,7,74.8,66.5,8.28,9.19,7.91,9.56,17.47,23,2,78.9,67,11.84,-7.15,6.28,-1.6,4.69,0,0.72,0.92,-10,7
