Year,Seed1,Score1,Team1,Team2,Score2,Seed2,W1,L1,Pts1,Opp1,MOV1,SOS1,OSRS1,DSRS1,SRS1,W2,L2,Pts2,Opp2,MOV2,SOS2,OSRS2,DSRS2,SRS2,Upset,WP1,WP2,upsetMOV,seedDiff
2022,1,0,Gonzaga,Georgia St,0,16,26,3,87.8,65.3,22.48,4.3,20.41,6.37,26.78,18,10,70.6,64.8,5.86,-2.2,-1.47,0.35,-1.12,0,0.9,0.64,0,15
2022,5,0,Connecticut,New Mexico St,0,12,23,9,75.2,65.2,10.03,7.25,8.75,8.53,17.28,26,6,73.3,65,8.28,0.6,2.12,4.68,6.81,0,0.72,0.81,0,7
2022,4,0,Arkansas,Vermont,0,13,25,8,76.9,68.5,8.39,8.14,11.04,5.5,16.54,28,5,74.9,60.3,14.64,-6.27,2.61,5.18,7.79,0,0.76,0.85,0,9
2022,6,0,Alabama,Rutgers,0,11,19,13,80,76.4,3.56,11.97,15.36,0.17,15.53,18,13,67.9,65.8,2.1,7.11,0.87,8.33,9.21,0,0.59,0.58,0,5
2022,3,0,Texas Tech,Montana St,0,12,25,9,71.7,60.3,11.38,8.55,6.42,13.51,19.93,27,7,77,68.5,8.5,-5.99,0.47,0.07,0.54,0,0.74,0.79,0,9
2022,7,0,Michigan St,Davidson,0,10,22,12,72.1,68.4,3.65,10.14,7,6.78,13.78,27,6,76,65.8,10.19,1.51,6.52,4.16,10.67,0,0.65,0.82,0,3
2022,2,0,Duke,Cal St Fullerton,0,15,28,6,80.2,67.1,13.03,6.14,12.75,6.43,19.17,21,10,70.3,66.2,4.1,-2.51,-1.07,1.45,0.39,0,0.82,0.68,0,13
2022,1,0,Arizona,Wright St,0,16,31,3,84.6,67.5,17.03,6.97,18.4,5.6,24,21,13,75.5,71.1,4.41,-5.73,2.1,-4.28,-2.18,0,0.91,0.62,0,15
2022,5,0,Houston,UAB,0,12,29,5,76,59.1,16.91,5.1,8.66,13.35,22.01,27,7,80.7,66.3,14.38,-0.67,9.22,1.93,11.14,0,0.85,0.79,0,7
2022,4,0,Illinois,Chattanooga,0,13,22,9,75.8,67.6,8.13,9.65,10.02,7.75,17.78,27,7,74.8,64.7,10.12,-1.37,0.9,5.04,5.94,0,0.71,0.79,0,9
