"","Year","Round","Region Number","Region Name","Seed1","Score1","Team1","Team2","Score2","Seed2"
"1",1985,1,1,"West",1,83,"St Johns","Southern",59,16
"2",1985,1,1,"West",2,81,"VCU","Marshall",65,15
"3",1985,1,1,"West",3,65,"NC State","Nevada",56,14
"4",1985,1,1,"West",4,85,"UNLV","San Diego St",80,13
"5",1985,1,1,"West",5,58,"Washington","Kentucky",65,12
"6",1985,1,1,"West",6,75,"Tulsa","UTEP",79,11
"7",1985,1,1,"West",7,50,"Alabama","Arizona",41,10
"8",1985,1,1,"West",8,54,"Iowa","Arkansas",63,9
"9",1985,1,2,"East",1,68,"Georgetown","Lehigh",43,16
"10",1985,1,2,"East",2,65,"Georgia Tech","Mercer",58,15
"11",1985,1,2,"East",3,76,"Illinois","Northeastern",57,14
"12",1985,1,2,"East",4,59,"Loyola Illinois","Iona",58,13
"13",1985,1,2,"East",5,85,"SMU","Old Dominion",68,12
"14",1985,1,2,"East",6,67,"Georgia","Wichita St",59,11
"15",1985,1,2,"East",7,70,"Syracuse","DePaul",65,10
"16",1985,1,2,"East",8,60,"Temple","Virginia Tech",57,9
"17",1985,1,3,"Midwest",1,96,"Oklahoma","North Carolina A&T",83,16
"18",1985,1,3,"Midwest",2,67,"Memphis","Pennsylvania",55,15
"19",1985,1,3,"Midwest",3,75,"Duke","Pepperdine",62,14
"20",1985,1,3,"Midwest",4,75,"Ohio St","Iowa St",64,13
"21",1985,1,3,"Midwest",5,78,"Louisiana Tech","Pittsburgh",54,12
"22",1985,1,3,"Midwest",6,53,"Texas Tech","Boston College",55,11
"23",1985,1,3,"Midwest",7,70,"UAB","Michigan St",68,10
"24",1985,1,3,"Midwest",8,55,"USC","Illinois St",58,9
"25",1985,1,4,"Southeast",1,59,"Michigan","Fairleigh Dickinson",55,16
"26",1985,1,4,"Southeast",2,76,"North Carolina","Middle Tennessee St",57,15
"27",1985,1,4,"Southeast",3,49,"Kansas","Ohio",38,14
"28",1985,1,4,"Southeast",4,55,"LSU","Navy",78,13
"29",1985,1,4,"Southeast",5,69,"Maryland","Miami Ohio",68,12
"30",1985,1,4,"Southeast",6,58,"Purdue","Auburn",59,11
"31",1985,1,4,"Southeast",7,79,"Notre Dame","Oregon St",70,10
"32",1985,1,4,"Southeast",8,51,"Villanova","Dayton",49,9
"33",1986,1,1,"Southeast",1,75,"Kentucky","Davidson",55,16
"34",1986,1,1,"Southeast",2,68,"Georgia Tech","Marist",53,15
"35",1986,1,1,"Southeast",3,95,"Memphis","Ball St",63,14
"36",1986,1,1,"Southeast",4,75,"Illinois","Fairfield",51,13
"37",1986,1,1,"Southeast",5,97,"Alabama","Xavier",80,12
"38",1986,1,1,"Southeast",6,87,"Purdue","LSU",94,11
"39",1986,1,1,"Southeast",7,62,"Virginia Tech","Villanova",71,10
"40",1986,1,1,"Southeast",8,67,"Western Kentucky","Nebraska",59,9
"41",1986,1,2,"West",1,83,"St Johns","Montana St",74,16
"42",1986,1,2,"West",2,93,"Louisville","Drexel",73,15
"43",1986,1,2,"West",3,84,"North Carolina","Utah",72,14
"44",1986,1,2,"West",4,74,"UNLV","Louisiana Monroe",51,13
"45",1986,1,2,"West",5,69,"Maryland","Pepperdine",64,12
"46",1986,1,2,"West",6,66,"UAB","Missouri",64,11
"47",1986,1,2,"West",7,83,"Bradley","UTEP",65,10
"48",1986,1,2,"West",8,73,"Auburn","Arizona",63,9
"49",1986,1,3,"East",1,85,"Duke","Mississippi Valley St",78,16
"50",1986,1,3,"East",2,101,"Syracuse","Brown",52,15
"51",1986,1,3,"East",3,79,"Indiana","Cleveland St",83,14
"52",1986,1,3,"East",4,80,"Oklahoma","Northeastern",74,13
"53",1986,1,3,"East",5,68,"Virginia","DePaul",72,12
"54",1986,1,3,"East",6,60,"St Josephs","Richmond",59,11
"55",1986,1,3,"East",7,87,"Navy","Tulsa",68,10
"56",1986,1,3,"East",8,72,"Old Dominion","West Virginia",64,9
"57",1986,1,4,"Midwest",1,71,"Kansas","North Carolina A&T",46,16
"58",1986,1,4,"Midwest",2,70,"Michigan","Akron",64,15
"59",1986,1,4,"Midwest",3,83,"Notre Dame","Arkansas Little Rock",90,14
"60",1986,1,4,"Midwest",4,70,"Georgetown","Texas Tech",64,13
"61",1986,1,4,"Midwest",5,72,"Michigan St","Washington",70,12
"62",1986,1,4,"Midwest",6,66,"NC State","Iowa",64,11
"63",1986,1,4,"Midwest",7,81,"Iowa St","Miami Ohio",79,10
"64",1986,1,4,"Midwest",8,50,"Jacksonville","Temple",61,9
"65",1987,1,1,"West",1,95,"UNLV","Idaho St",70,16
"66",1987,1,1,"West",2,99,"Iowa","Santa Clara",76,15
"67",1987,1,1,"West",3,93,"Pittsburgh","Marist",68,14
"68",1987,1,1,"West",4,92,"UCLA","Central Michigan",73,13
"69",1987,1,1,"West",5,60,"Virginia","Wyoming",64,12
"70",1987,1,1,"West",6,74,"Oklahoma","Tulsa",69,11
"71",1987,1,1,"West",7,98,"UTEP","Arizona",91,10
"72",1987,1,1,"West",8,79,"Georgia","Kansas St",82,9
"73",1987,1,2,"Midwest",1,92,"Indiana","Fairfield",58,16
"74",1987,1,2,"Midwest",2,75,"Temple","Southern",56,15
"75",1987,1,2,"Midwest",3,76,"DePaul","Louisiana Tech",62,14
"76",1987,1,2,"Midwest",4,69,"Missouri","Xavier",70,13
"77",1987,1,2,"Midwest",5,58,"Duke","Texas A&M",51,12
"78",1987,1,2,"Midwest",6,57,"St Johns","Wichita St",55,11
"79",1987,1,2,"Midwest",7,79,"Georgia Tech","LSU",85,10
"80",1987,1,2,"Midwest",8,62,"Auburn","San Diego",61,9
"81",1987,1,3,"Southeast",1,75,"Georgetown","Bucknell",53,16
"82",1987,1,3,"Southeast",2,88,"Alabama","North Carolina A&T",71,15
"83",1987,1,3,"Southeast",3,67,"Illinois","Austin Peay",68,14
"84",1987,1,3,"Southeast",4,60,"Clemson","Southwest Missouri St",65,13
"85",1987,1,3,"Southeast",5,66,"Kansas","Houston",55,12
"86",1987,1,3,"Southeast",6,90,"Providence","UAB",68,11
"87",1987,1,3,"Southeast",7,83,"New Orleans","BYU",79,10
"88",1987,1,3,"Southeast",8,77,"Kentucky","Ohio St",91,9
"89",1987,1,4,"East",1,113,"North Carolina","Pennsylvania",82,16
"90",1987,1,4,"East",2,79,"Syracuse","Georgia Southern",73,15
"91",1987,1,4,"East",3,104,"Purdue","Northeastern",95,14
"92",1987,1,4,"East",4,76,"TCU","Marshall",60,13
"93",1987,1,4,"East",5,84,"Notre Dame","Middle Tennessee St",71,12
"94",1987,1,4,"East",6,82,"Florida","NC State",70,11
"95",1987,1,4,"East",7,62,"West Virginia","Western Kentucky",64,10
"96",1987,1,4,"East",8,82,"Navy","Michigan",97,9
"97",1988,1,1,"Midwest",1,94,"Purdue","Fairleigh Dickinson",79,16
"98",1988,1,1,"Midwest",2,108,"Pittsburgh","Eastern Michigan",90,15
"99",1988,1,1,"Midwest",3,75,"NC State","Murray St",78,14
"100",1988,1,1,"Midwest",4,66,"Kansas St","La Salle",53,13
"101",1988,1,1,"Midwest",5,83,"DePaul","Wichita St",62,12
"102",1988,1,1,"Midwest",6,85,"Kansas","Xavier",72,11
"103",1988,1,1,"Midwest",7,80,"Vanderbilt","Utah St",77,10
"104",1988,1,1,"Midwest",8,60,"Baylor","Memphis",75,9
"105",1988,1,2,"East",1,87,"Temple","Lehigh",73,16
"106",1988,1,2,"East",2,85,"Duke","Boston University",69,15
"107",1988,1,2,"East",3,69,"Syracuse","North Carolina A&T",55,14
"108",1988,1,2,"East",4,69,"Indiana","Richmond",72,13
"109",1988,1,2,"East",5,90,"Georgia Tech","Iowa St",78,12
"110",1988,1,2,"East",6,80,"Missouri","Rhode Island",87,11
"111",1988,1,2,"East",7,83,"SMU","Notre Dame",75,10
"112",1988,1,2,"East",8,66,"Georgetown","LSU",63,9
"113",1988,1,3,"West",1,90,"Arizona","Cornell",50,16
"114",1988,1,3,"West",2,83,"North Carolina","North Texas St",65,15
"115",1988,1,3,"West",3,63,"Michigan","Boise St",58,14
"116",1988,1,3,"West",4,54,"UNLV","Southwest Missouri St",50,13
"117",1988,1,3,"West",5,102,"Iowa","Florida St",98,12
"118",1988,1,3,"West",6,62,"Florida","St Johns",59,11
"119",1988,1,3,"West",7,115,"Wyoming","Loyola Marymount",119,10
"120",1988,1,3,"West",8,80,"Seton Hall","UTEP",64,9
"121",1988,1,4,"Southeast",1,94,"Oklahoma","Chattanooga",66,16
"122",1988,1,4,"Southeast",2,99,"Kentucky","Southern",84,15
"123",1988,1,4,"Southeast",3,81,"Illinois","Texas San Antonio",72,14
"124",1988,1,4,"Southeast",4,98,"BYU","Charlotte",92,13
"125",1988,1,4,"Southeast",5,70,"Louisville","Oregon St",61,12
"126",1988,1,4,"Southeast",6,82,"Villanova","Arkansas",74,11
"127",1988,1,4,"Southeast",7,92,"Maryland","Santa Barbara",82,10
"128",1988,1,4,"Southeast",8,90,"Auburn","Bradley",86,9
"129",1989,1,1,"Midwest",1,77,"Illinois","McNeese St",71,16
"130",1989,1,1,"Midwest",2,104,"Syracuse","Bucknell",81,15
"131",1989,1,1,"Midwest",3,85,"Missouri","Creighton",69,14
"132",1989,1,1,"Midwest",4,76,"Louisville","Arkansas Little Rock",71,13
"133",1989,1,1,"Midwest",5,120,"Arkansas","Loyola Marymount",101,12
"134",1989,1,1,"Midwest",6,70,"Georgia Tech","Texas",76,11
"135",1989,1,1,"Midwest",7,46,"Florida","Colorado St",68,10
"136",1989,1,1,"Midwest",8,64,"Pittsburgh","Ball St",68,9
"137",1989,1,2,"Southeast",1,72,"Oklahoma","East Tennessee St",71,16
"138",1989,1,2,"Southeast",2,93,"North Carolina","Southern",79,15
"139",1989,1,2,"Southeast",3,93,"Michigan","Xavier",87,14
"140",1989,1,2,"Southeast",4,83,"Florida St","Middle Tennessee St",97,13
"141",1989,1,2,"Southeast",5,100,"Virginia","Providence",97,12
"142",1989,1,2,"Southeast",6,84,"Alabama","South Alabama",86,11
"143",1989,1,2,"Southeast",7,84,"UCLA","Iowa St",74,10
"144",1989,1,2,"Southeast",8,74,"La Salle","Louisiana Tech",83,9
"145",1989,1,3,"East",1,50,"Georgetown","Princeton",49,16
