"","Year","Round","Seed1","Score1","Team1","Team2","Score2","Seed2"
"1",1985,1,5,58,"Washington","Kentucky",65,12
"2",1985,1,6,75,"Tulsa","UTEP",79,11
"3",1985,1,6,53,"Texas Tech","Boston College",55,11
"4",1985,1,4,55,"LSU","Navy",78,13
"5",1985,1,6,58,"Purdue","Auburn",59,11
"6",1986,1,6,87,"Purdue","LSU",94,11
"7",1986,1,7,62,"Virginia Tech","Villanova",71,10
"8",1986,1,3,79,"Indiana","Cleveland St",83,14
"9",1986,1,5,68,"Virginia","DePaul",72,12
"10",1986,1,3,83,"Notre Dame","Arkansas Little Rock",90,14
"11",1987,1,5,60,"Virginia","Wyoming",64,12
"12",1987,1,4,69,"Missouri","Xavier",70,13
"13",1987,1,7,79,"Georgia Tech","LSU",85,10
"14",1987,1,3,67,"Illinois","Austin Peay",68,14
"15",1987,1,4,60,"Clemson","Southwest Missouri St",65,13
"16",1987,1,7,62,"West Virginia","Western Kentucky",64,10
"17",1988,1,3,75,"NC State","Murray St",78,14
"18",1988,1,4,69,"Indiana","Richmond",72,13
"19",1988,1,6,80,"Missouri","Rhode Island",87,11
"20",1988,1,7,115,"Wyoming","Loyola Marymount",119,10
"21",1989,1,6,70,"Georgia Tech","Texas",76,11
"22",1989,1,7,46,"Florida","Colorado St",68,10
"23",1989,1,4,83,"Florida St","Middle Tennessee St",97,13
"24",1989,1,6,84,"Alabama","South Alabama",86,11
"25",1989,1,3,78,"Stanford","Siena",80,14
"26",1989,1,6,75,"Kansas St","Minnesota",86,11
"27",1989,1,5,63,"Memphis","DePaul",66,12
"28",1989,1,6,90,"Oregon St","Evansville",94,11
"29",1990,1,3,71,"Missouri","Northern Iowa",74,14
"30",1990,1,5,53,"Oregon St","Ball St",54,12
"31",1990,1,6,92,"New Mexico St","Loyola Marymount",111,11
"32",1990,1,5,86,"Illinois","Dayton",88,12
"33",1990,1,7,88,"Georgia","Texas",100,10
"34",1991,1,6,56,"New Mexico St","Creighton",64,11
"35",1991,1,7,48,"Virginia","BYU",61,10
"36",1991,1,3,84,"Nebraska","Xavier",89,14
"37",1991,1,6,62,"LSU","Connecticut",79,11
"38",1991,1,2,69,"Syracuse","Richmond",73,15
"39",1991,1,4,69,"UCLA","Penn St",74,13
"40",1991,1,5,56,"Mississippi St","Eastern Michigan",76,12
"41",1991,1,7,63,"Purdue","Temple",80,10
"42",1992,1,3,80,"Arizona","East Tennessee St",87,14
"43",1992,1,7,57,"St Johns","Tulane",61,10
"44",1992,1,7,74,"Charlotte","Iowa St",76,10
"45",1992,1,4,83,"Oklahoma","Louisiana Lafayette",87,13
"46",1992,1,5,73,"DePaul","New Mexico St",81,12
"47",1993,1,6,53,"Kansas St","Tulane",55,11
"48",1993,1,2,61,"Arizona","Santa Clara",64,15
"49",1993,1,4,78,"Georgia Tech","Southern",93,13
"50",1993,1,5,68,"New Mexico","George Washington",82,12
"51",1994,1,5,57,"California","Wisconsin Green Bay",61,12
"52",1994,1,5,102,"UCLA","Tulsa",112,12
"53",1994,1,7,66,"St Louis","Maryland",74,10
"54",1994,1,6,80,"Nebraska","Pennsylvania",90,11
"55",1994,1,7,46,"UAB","George Washington",51,10
"56",1995,1,5,62,"Arizona","Miami Ohio",71,12
"57",1995,1,3,72,"Michigan St","Weber St",79,14
"58",1995,1,4,67,"Oklahoma","Manhattan",77,13
"59",1995,1,3,81,"Villanova","Old Dominion",89,14
"60",1995,1,7,68,"Charlotte","Stanford",70,10
"61",1995,1,6,73,"Oregon","Texas",90,11
"62",1996,1,4,41,"UCLA","Princeton",43,13
"63",1996,1,6,51,"Indiana","Boston College",64,11
"64",1996,1,5,63,"Memphis","Drexel",75,12
"65",1996,1,7,79,"Maryland","Santa Clara",91,10
"66",1996,1,5,80,"Penn St","Arkansas",86,12
"67",1996,1,7,76,"Michigan","Texas",80,10
"68",1997,1,2,65,"South Carolina","Coppin St",78,15
"69",1997,1,7,58,"Wisconsin","Texas",71,10
"70",1997,1,3,70,"Georgia","Chattanooga",73,14
