"","Year","Round","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2"
"1",1985,1,5,58,"Washington","Kentucky",65,12,22,10,64.9,58.8,6.09,5.88,0.3,11.67,11.98,18,13,65.7,63.7,1.97,9.57,1.37,10.17,11.54
"2",1985,1,6,75,"Tulsa","UTEP",79,11,23,8,81.5,72.9,8.61,3.75,11.2,0.06,11.25,22,10,73.8,67.3,6.53,1.46,3.85,4.36,8.2
"3",1985,1,6,53,"Texas Tech","Boston College",55,11,23,8,69,63,5.94,4.17,0.88,9.19,10.07,20,11,74.8,68,6.74,6.24,7.14,3.85,11
"4",1985,1,4,55,"LSU","Navy",78,13,19,10,73.4,69.4,4,8,7.62,4.38,12,26,6,78.4,65.3,13.03,-3.79,7.01,-0.03,6.97
"5",1985,1,6,58,"Purdue","Auburn",59,11,20,9,69.3,64.6,4.66,10.01,4.93,8.69,13.62,22,12,70.3,65.2,5.06,7.92,4.94,6.23,11.17
"6",1986,1,6,87,"Purdue","LSU",94,11,22,10,77,70.1,6.94,9.51,11.19,4.58,15.77,26,12,75.7,70.5,5.21,10.71,10.56,4.57,15.13
"7",1986,1,7,62,"Virginia Tech","Villanova",71,10,22,9,78.7,73.1,5.58,5.66,11.96,-0.67,11.3,23,14,69.8,66.2,3.51,6.26,1.72,7.62,9.34
"8",1986,1,3,79,"Indiana","Cleveland St",83,14,21,8,76.3,67.9,8.45,11.41,12.32,6.36,18.68,29,4,88.9,69.6,19.27,-2.48,16.5,-2.78,13.72
"9",1986,1,5,68,"Virginia","DePaul",72,12,19,11,70.4,64.9,5.43,9.41,5.47,9.37,14.84,18,13,69.1,65.8,3.35,7.43,3.03,7.76,10.78
"10",1986,1,3,83,"Notre Dame","Arkansas Little Rock",90,14,23,6,78.9,64.8,14.07,4.16,10.17,7.49,17.66,23,11,79.3,73,6.29,-4.89,7.11,-5.72,1.39
"11",1987,1,5,60,"Virginia","Wyoming",64,12,21,10,74.2,68.4,5.84,7.77,4.32,9.29,13.61,24,10,71,65.7,5.35,3.02,-1.14,9.04,7.9
"12",1987,1,4,69,"Missouri","Xavier",70,13,24,10,74.2,68.7,5.44,6.37,5.41,5.9,11.31,19,13,79,74.3,4.66,-0.17,4.08,-2.32,1.75
"13",1987,1,7,79,"Georgia Tech","LSU",85,10,16,13,70.7,68.5,2.24,8.99,2.57,8.66,11.23,24,15,71.4,68.3,3.08,10.58,2.63,9.26,11.89
"14",1987,1,3,67,"Illinois","Austin Peay",68,14,23,8,80.3,70.4,9.87,8.66,10.38,7.67,18.05,20,12,80.3,76.6,3.69,0.51,4.01,-1.42,2.58
"15",1987,1,7,62,"West Virginia","Western Kentucky",64,10,23,8,68.7,60.7,7.97,2.22,-2.5,12.69,10.18,29,9,78.7,67.9,10.74,2.45,7.43,5.48,12.91
"16",1988,1,3,75,"NC State","Murray St",78,14,24,7,85.7,74.1,11.61,6.53,12.31,5.02,17.34,22,9,76.3,68.2,8.1,-0.97,-1.23,5.83,4.61
"17",1988,1,4,69,"Indiana","Richmond",72,13,19,10,78.8,70.9,7.83,9.66,9.39,8.1,17.48,26,7,69.4,65.9,3.45,-0.11,-4.34,8.3,3.95
"18",1988,1,6,80,"Missouri","Rhode Island",87,11,19,11,87,78.2,8.8,9.13,13.92,3.88,17.8,28,7,86.5,76.8,9.71,0.22,13.9,-3.98,9.92
"19",1988,1,7,115,"Wyoming","Loyola Marymount",119,10,26,6,78.3,66.7,11.59,3.7,7.29,7.38,14.67,28,4,110.3,97.2,13.06,1.44,37.04,-24.08,12.96
"20",1989,1,6,70,"Georgia Tech","Texas",76,11,20,12,80.2,74.2,6,8.19,7.15,7.04,14.19,25,9,94.3,87.7,6.62,3.4,20.26,-10.57,9.69
"21",1989,1,7,46,"Florida","Colorado St",68,10,21,13,76.1,76.4,-0.32,7.83,3.47,3.4,6.86,23,10,64.4,61,3.42,4.73,-8.72,16.26,7.54
"22",1989,1,4,83,"Florida St","Middle Tennessee St",97,13,22,8,91.3,80.7,10.57,4.19,16.19,-1.07,15.12,23,8,90.6,79.6,11.06,-2.67,10.72,-5.42,5.3
"23",1989,1,6,84,"Alabama","South Alabama",86,11,23,8,76,69.9,6.06,3.52,-0.6,10.19,9.59,23,9,91,79.6,11.44,2.26,14.92,-1.4,13.52
"24",1989,1,3,78,"Stanford","Siena",80,14,26,7,76.3,65,11.36,8.67,5.81,14.2,20,25,5,85,69.8,15.13,-5.65,9.34,-0.64,8.7
"25",1989,1,6,75,"Kansas St","Minnesota",86,11,19,11,77.1,73.1,4.03,10.41,4.91,8.72,13.63,19,12,76.2,71.1,5.03,10.09,3.91,9.87,13.79
"26",1989,1,5,63,"Memphis","DePaul",66,12,21,11,79.5,72.5,6.97,6.36,5.39,6.72,12.11,21,12,77.8,73.2,4.64,5.28,1.16,8.24,9.41
"27",1989,1,6,90,"Oregon St","Evansville",94,11,22,8,77.1,69.5,7.67,8.6,6.16,10.11,16.27,25,6,82.6,71.7,10.9,1.38,7.26,4.9,12.16
"28",1990,1,3,71,"Missouri","Northern Iowa",74,14,26,6,86.8,78.2,8.59,10.12,11.82,4.03,15.85,23,9,77.9,72.8,5.16,0.29,3.22,1.13,4.35
"29",1990,1,5,53,"Oregon St","Ball St",54,12,22,7,78.3,71.6,6.79,6.91,8.47,5.23,13.7,26,7,71.5,58.6,12.88,1.05,-3.46,15.48,12.02
"30",1990,1,6,92,"New Mexico St","Loyola Marymount",111,11,26,5,80.5,72.3,8.19,4.85,6.45,5.15,11.61,26,6,122.4,108.1,14.38,1.95,47.49,-31.17,16.32
"31",1990,1,5,86,"Illinois","Dayton",88,12,21,8,81.7,72.6,9.1,9.82,11.99,6.4,18.39,22,10,89.7,83.6,6.06,3.69,17.28,-7.53,9.75
"32",1990,1,7,88,"Georgia","Texas",100,10,20,9,82.7,76.4,6.31,5.51,10.18,1.63,11.82,24,9,93.7,85.1,8.55,5.36,21.13,-7.22,13.91
"33",1991,1,6,56,"New Mexico St","Creighton",64,11,23,6,81,69.6,11.45,1.81,3.53,8.53,12.06,24,8,76.9,70,6.97,3.79,3.84,6.92,10.76
"34",1991,1,7,48,"Virginia","BYU",61,10,21,12,74.3,68.5,5.79,9.32,2.1,13.01,15.11,21,13,72.2,68.7,3.47,5.37,1.46,7.38,8.84
