"","Year","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2","Upset","WP1","WP2","upsetMOV","seedDiff"
"1",1985,1,83,"St Johns","Southern",59,16,31,4,75.7,64.7,11.03,7.07,10.56,7.54,18.09,19,11,83.8,77.7,6.1,-5.51,10.18,-9.66,0.52,0,0.89,0.63,-24,15
"2",1985,2,81,"VCU","Marshall",65,15,26,6,72.3,62.7,9.63,4.61,5.62,8.62,14.24,21,13,75.2,69.4,5.82,-2.46,4.43,-2.48,1.94,0,0.81,0.62,-16,13
"3",1985,3,65,"NC State","Nevada",56,14,23,10,73.3,65,8.24,6.78,6.74,8.28,15.02,21,10,77.9,70.4,7.55,0.96,8.14,-4.38,3.75,0,0.7,0.68,-9,11
"4",1985,4,85,"UNLV","San Diego St",80,13,28,4,80.5,70.4,10.03,0.17,12.68,-2.98,9.7,23,8,80.4,72.3,8.16,-1.01,10.9,-3.75,7.15,0,0.88,0.74,-5,9
"5",1985,5,58,"Washington","Kentucky",65,12,22,10,64.9,58.8,6.09,5.88,0.3,11.67,11.98,18,13,65.7,63.7,1.97,9.57,1.37,10.17,11.54,1,0.69,0.58,7,7
"6",1985,6,75,"Tulsa","UTEP",79,11,23,8,81.5,72.9,8.61,3.75,11.2,0.06,11.25,22,10,73.8,67.3,6.53,1.46,3.85,4.36,8.2,1,0.74,0.69,4,5
"7",1985,7,50,"Alabama","Arizona",41,10,23,10,67.4,60.1,7.3,7.15,2.23,12.23,14.46,21,10,68.5,60.3,8.23,4.44,0.53,10.52,11.05,0,0.7,0.68,-9,3
"8",1985,1,68,"Georgetown","Lehigh",43,16,35,3,74.3,57.3,17.05,5.77,6.68,14.21,20.89,12,19,65.5,69.4,-3.87,-6.89,-7.37,-4.65,-12.02,0,0.92,0.39,-25,15
"9",1985,2,65,"Georgia Tech","Mercer",58,15,27,8,69.9,60.9,9.03,7.42,4.52,11.94,16.45,22,9,78,69.6,8.32,-7.18,5.72,-5.42,0.3,0,0.77,0.71,-7,13
"10",1985,3,76,"Illinois","Northeastern",57,14,26,9,68.9,57.2,11.69,8.14,1.87,16.98,18.85,22,9,79,69.4,9.61,-4.48,6.1,-3.72,2.38,0,0.74,0.71,-19,11
"11",1985,4,59,"Loyola Illinois","Iona",58,13,27,6,83.5,77.3,6.21,4.07,16.68,-6.4,10.29,26,5,74.6,67.5,7.19,-3.87,2.54,0.66,3.19,0,0.82,0.84,-1,9
